"filename", "language", "Asset Properties Definition", "GDScript", "Markdown", "GDScene", "XML", "comment", "blank", "total"
"d:\IdeaProjects\-qsz\.idea\-qsz.iml", "XML", 0, 0, 0, 0, 9, 0, 0, 9
"d:\IdeaProjects\-qsz\.idea\misc.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"d:\IdeaProjects\-qsz\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"d:\IdeaProjects\-qsz\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"d:\IdeaProjects\-qsz\battleScene\boss_test.gd", "GDScript", 0, 146, 0, 0, 0, 5, 32, 183
"d:\IdeaProjects\-qsz\battleScene\boss_test.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\battleScene\stage1.gd", "GDScript", 0, 389, 0, 0, 0, 132, 124, 645
"d:\IdeaProjects\-qsz\battleScene\stage1.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\base_bullet.gd", "GDScript", 0, 122, 0, 0, 0, 48, 44, 214
"d:\IdeaProjects\-qsz\config\base_bullet.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\branch.gd", "GDScript", 0, 165, 0, 0, 0, 82, 55, 302
"d:\IdeaProjects\-qsz\config\branch.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\buff_manager.gd", "GDScript", 0, 93, 0, 0, 0, 27, 32, 152
"d:\IdeaProjects\-qsz\config\buff_manager.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\buff_ui.gd", "GDScript", 0, 234, 0, 0, 0, 59, 62, 355
"d:\IdeaProjects\-qsz\config\buff_ui.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\bullet.gd", "GDScript", 0, 200, 0, 0, 0, 67, 63, 330
"d:\IdeaProjects\-qsz\config\bullet.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\bullet_cal.gd", "GDScript", 0, 71, 0, 0, 0, 26, 18, 115
"d:\IdeaProjects\-qsz\config\bullet_cal.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\enemy_debuff_manager.gd", "GDScript", 0, 125, 0, 0, 0, 8, 30, 163
"d:\IdeaProjects\-qsz\config\enemy_debuff_manager.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\fire_instance.gd", "GDScript", 0, 36, 0, 0, 0, 7, 8, 51
"d:\IdeaProjects\-qsz\config\fire_instance.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\item_hecheng_manager.gd", "GDScript", 0, 131, 0, 0, 0, 47, 28, 206
