"filename", "language", "Markdown", "GDScript", "comment", "blank", "total"
"d:\IdeaProjects\-qsz\battleScene\stage1.gd", "GDScript", 0, 0, -61, -9, -70
"d:\IdeaProjects\-qsz\config\branch.gd", "GDScript", 0, 0, -39, 1, -38
"d:\IdeaProjects\-qsz\config\fire_instance.gd", "GDScript", 0, 0, 0, -1, -1
"d:\IdeaProjects\-qsz\config\item_manager.gd", "GDScript", 0, 295, -4, 1, 292
"d:\IdeaProjects\-qsz\config\setting_level_up.gd", "GDScript", 0, 32, 0, 0, 32
"d:\IdeaProjects\-qsz\cultivation.gd", "GDScript", 0, 12, 0, 0, 12
"d:\IdeaProjects\-qsz\system\drop_normal.gd", "GDScript", 0, -4, -7, -2, -13
"d:\IdeaProjects\-qsz\system\item_drop_system.gd", "GDScript", 0, 0, -3, 0, -3
"d:\IdeaProjects\-qsz\system\synthesis_layer.gd", "GDScript", 0, -7, -3, -4, -14
"d:\IdeaProjects\-qsz\util\README_warn_circle.md", "Markdown", 104, 0, 0, 22, 126
"d:\IdeaProjects\-qsz\util\README_warn_rect.md", "Markdown", 88, 0, 0, 8, 96
"Total", "-", 192, 328, -117, 16, 419
