"filename", "language", "Asset Properties Definition", "GDScript", "Markdown", "GDScene", "XML", "comment", "blank", "total"
"d:\IdeaProjects\-qsz\.idea\-qsz.iml", "XML", 0, 0, 0, 0, 9, 0, 0, 9
"d:\IdeaProjects\-qsz\.idea\misc.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"d:\IdeaProjects\-qsz\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"d:\IdeaProjects\-qsz\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"d:\IdeaProjects\-qsz\.trae\rules\project_rules.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 7
"d:\IdeaProjects\-qsz\battleScene\boss_test.gd", "GDScript", 0, 147, 0, 0, 0, 5, 33, 185
"d:\IdeaProjects\-qsz\battleScene\boss_test.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\battleScene\stage1.gd", "GDScript", 0, 308, 0, 0, 0, 69, 117, 494
"d:\IdeaProjects\-qsz\battleScene\stage1.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\battleScene\stage2.gd", "GDScript", 0, 308, 0, 0, 0, 67, 117, 492
"d:\IdeaProjects\-qsz\battleScene\stage2.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\active_skill_manager.gd", "GDScript", 0, 334, 0, 0, 0, 71, 94, 499
"d:\IdeaProjects\-qsz\config\active_skill_manager.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\active_skill_test.gd", "GDScript", 0, 142, 0, 0, 0, 21, 40, 203
"d:\IdeaProjects\-qsz\config\active_skill_test.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\base_bullet.gd", "GDScript", 0, 123, 0, 0, 0, 42, 45, 210
"d:\IdeaProjects\-qsz\config\base_bullet.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\branch.gd", "GDScript", 0, 180, 0, 0, 0, 48, 56, 284
"d:\IdeaProjects\-qsz\config\branch.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\buff_manager.gd", "GDScript", 0, 98, 0, 0, 0, 28, 32, 158
"d:\IdeaProjects\-qsz\config\buff_manager.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\buff_ui.gd", "GDScript", 0, 242, 0, 0, 0, 59, 63, 364
"d:\IdeaProjects\-qsz\config\buff_ui.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
"d:\IdeaProjects\-qsz\config\bullet.gd", "GDScript", 0, 270, 0, 0, 0, 83, 80, 433
"d:\IdeaProjects\-qsz\config\bullet.gd.uid", "Asset Properties Definition", 1, 0, 0, 0, 0, 0, 1, 2
